Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
PARTS-2SF,Black apple gold design HS/BS/SF,Parts,5,80.00,,6
PARTS-2BS,Black apple gold design HS/BS/SF,Parts,5,80.00,,6
PARTS-2HS,Black apple gold design HS/BS/SF,Parts,5,80.00,,6
PARTS-1SF,Black velvet gold sequence,Parts,5,80.00,,10
PARTS-1LF,Black velvet gold sequence,Parts,5,80.00,,10
PARTS-1BS,Black velvet gold sequence,Parts,5,80.00,,10
PARTS-1HS,Black velvet gold sequence,Parts,5,80.00,,10
PANT-75,"Vada,ulla small seq",Pant,5,225.00,400.00,11
PANT-74,Kavi pant,Pant,5,125.00,300.00,13
PANT-73,Neriyathu pant dhothi model,Pant,5,150.00,300.00,10
PANT-72,Majenta brocade pant shawl Krishna,Pant,5,225.00,500.00,8
PANT-71,Yellow brocade pant shawl krishna,Pant,5,225.00,500.00,8
PANT-70,Red brocade pant shawl Krishna,Pant,5,225.00,500.00,8
PANT-69,Copper sulphate blue brocade pant shawl krishna,Pant,5,225.00,500.00,8
PANT-68,Black folk pant only,Pant,5,260.00,500.00,1
PANT-67,Yello net /Gold lace border,Pant,5,150.00,300.00,1
PANT-66,Majenta net patiyala with blue gold seq border,Pant,5,175.00,300.00,4
PANT-65,Orange satin dhothi pant,Pant,5,175.00,300.00,4
PANT-64,White satin dhothi pant,Pant,5,125.00,300.00,11
PANT-63,Red satin dhothi pant thin border,Pant,5,125.00,300.00,7
PANT-62,Blue polyster dhothi pant,Pant,5,125.00,300.00,10
PANT-61,Black small seq pant,Pant,5,175.00,300.00,6
PANT-60,White brocade sunfleet pant,Pant,5,325.00,500.00,12
PANT-59,Black vevlet Normal Pant,Pant,5,175.00,300.00,10
PANT-58,Black big sequence Patiyala Pant,Pant,5,225.00,400.00,8
PANT-57,Black pant with gold sequence zigzag line Normal P,Pant,5,175.00,300.00,5
PANT-56,Pist green majenta border Normal Pant,Pant,5,125.00,300.00,4
PANT-55,Gold satin long Normal Pant,Pant,5,125.00,300.00,14
PANT-54,Red satin black border 3/4th Normal Pant,Pant,5,125.00,300.00,12
PANT-53,Black silver sequence Patiyala Pant,Pant,5,225.00,300.00,5
PANT-52,Green tikky Patiyala Pant,Pant,5,125.00,300.00,10
PANT-51,Green sequence Patiyala Pant,Pant,5,175.00,300.00,10
PANT-50,Majenta black shimmer cloth Patiyala Pant,Pant,5,225.00,400.00,10
PANT-49,Majenta net dot Patiyala Pant,Pant,5,175.00,300.00,10
PANT-48,Black satin dot Patiyala Pant,Pant,5,125.00,300.00,10
PANT-47,Tikky black Patiyala Pant,Pant,5,125.00,300.00,7
PANT-46,Orange sequence Patiyala Pant,Pant,5,175.00,300.00,10
PANT-45,Black sequence Normal Pant,Pant,5,175.00,300.00,18
PANT-44,Majenta satin with gold border Dhothi Pant,Pant,5,125.00,300.00,7
PANT-43,Gold sequence Patiyala Pant,Pant,5,175.00,300.00,19
PANT-42,Red net dot Patiyala Pant,Pant,5,125.00,300.00,7
PANT-41,Yellow orange satin dot Patiyala Pant,Pant,5,125.00,300.00,6
PANT-40,Blue net flower Patiyala Pant,Pant,5,175.00,300.00,8
PANT-39,Balck satin dot Dhothi Pant,Pant,5,125.00,300.00,13
PANT-38,Blue seq dhothi model Dhothi Pant,Pant,5,175.00,300.00,18
PANT-37,Kilipacha majenta small Patiyala Pant,Pant,5,175.00,300.00,17
PANT-36,Peacock blue small Patiyala Pant,Pant,5,125.00,300.00,6
PANT-35,Blue seq Patiyala Pant,Pant,5,125.00,300.00,6
PANT-34,Heavy orange seq pant/Blue border Patiyala Pant,Pant,5,225.00,300.00,12
PANT-33,Light orange seq pant/ Blue border Patiyala Pant,Pant,5,225.00,300.00,3
PANT-32,Orange tikky pant with blue border Patiyala Pant,Pant,5,175.00,300.00,10
PANT-31,Majenta seq pant green border Patiyala Pant,Pant,5,125.00,300.00,14
PANT-30,Black net gold dot print Patiyala Pant,Pant,5,125.00,300.00,28
PANT-29,Plain red pant UP Normal Pant,Pant,5,125.00,300.00,20
PANT-28,Red net patiyala black border Patiyala Pant,Pant,5,125.00,300.00,7
PANT-27,Gold seq pant red side line Normal Pant,Pant,5,125.00,300.00,13
PANT-26,Blue net gold long Patiyala Pant,Pant,5,175.00,300.00,9
PANT-25,Red Normal Pant,Pant,5,125.00,300.00,11
PANT-24,Ash Normal Pant,Pant,5,125.00,300.00,11
PANT-23,Violet Dhothi Pant,Pant,5,125.00,300.00,4
PANT-22,Blue plain patiyala Palazo pant,Pant,5,175.00,300.00,4
PANT-21,Pink plain Patiyala Palazo pant,Pant,5,175.00,300.00,6
PANT-20,Yellow green border Dhothi Pant,Pant,5,180.00,300.00,3
PANT-19,Yellow red border Dhothi Pant,Pant,5,180.00,300.00,13
PANT-18,Gold /Orange big sequence KG sizeNormal Pant,Pant,5,225.00,500.00,4
PANT-17,Green brocade Dhothi Pant,Pant,5,225.00,500.00,4
PANT-16,White/Black border Dhothi Pant,Pant,5,260.00,500.00,10
PANT-15,Yellow brocade Dhothi Pant,Pant,5,260.00,500.00,7
PANT-14,Majenta brocade/Kacha Dhothi Pant,Pant,5,260.00,500.00,10
PANT-13,Red brocade Dhothi Pant,Pant,5,260.00,500.00,17
PANT-12,Orange/Violet Dhothi Pant,Pant,5,260.00,500.00,10
PANT-11,Kilipacha brocade/Kacha model Dhothi Pant,Pant,5,260.00,500.00,10
PANT-10,Majenta brocade Dhothi Pant,Pant,5,260.00,500.00,19
PANT-9,"Blue brocade dhothi,medium/Large Dhothi Pant",Pant,5,260.00,500.00,10
PANT-8,Copper sulphate blue Dhothi Pant,Pant,5,225.00,500.00,10
PANT-7,Black/Violet round lace Dhothi Pant,Pant,5,260.00,500.00,10
PANT-6,Off white/Gold border Dhothi Pant,Pant,5,225.00,500.00,10
PANT-5,Green pant/ Cross pleatDhothi Pant,Pant,5,260.00,500.00,5
PANT-4,Red pant /cross pleat Dhothi Pant,Pant,5,260.00,500.00,5
PANT-3,Green violet round lace Dhothi Pant,Pant,5,260.00,500.00,10
PANT-2,Pista green Gold sequence border Dhothi Pant,Pant,5,225.00,500.00,11
PANT-1,Green apple cloth round lace Dhothi Pant,Pant,5,225.00,500.00,6
OCT-57,Black gold heavy Jacket,Overcoat,5,225.00,300.00,16
OCT-56,Majenta Big Seq,Overcoat,5,150.00,300.00,4
OCT-55,Black multi colour seq,Overcoat,5,150.00,300.00,3
OCT-54,Green gold sequence full sleeve,Overcoat,5,260.00,300.00,10
OCT-53,Blue velvet Gold Lace Full Sleeve,Overcoat,5,260.00,300.00,1
OCT-52,White silver round design sleeveless coat,Overcoat,5,80.00,300.00,4
OCT-51,Blue tikky sleeveless coat,Overcoat,5,80.00,300.00,7
OCT-50,White silver seq sleeveless overcoat,Overcoat,5,150.00,300.00,2
OCT-49,Red seq gold border sleeveless coat,Overcoat,5,125.00,300.00,5
OCT-48,Orange seq short sleeve shirt,Overcoat,5,150.00,300.00,12
OCT-47,White silver small seq coat KG size,Overcoat,5,80.00,300.00,14
OCT-46,White silver small se sleeveless overcoat,Overcoat,5,150.00,300.00,10
OCT-45,White silver big seq sleeveless coat,Overcoat,5,175.00,300.00,12
OCT-44,Gold tissue sleeveless coat,Overcoat,5,80.00,300.00,18
OCT-43,Orange long sleeveless coat,Overcoat,5,80.00,300.00,3
OCT-42,Gold small sequence sleeveless coat,Overcoat,5,80.00,300.00,18
OCT-41,Red gold sequence full sleeve Jacket,Overcoat,5,250.00,300.00,10
OCT-40,Yellow/Blue gold full sleeve Overcoat,Overcoat,5,125.00,300.00,5
OCT-39,Black silver seq sleeve less Overcoat,Overcoat,5,80.00,300.00,8
OCT-38,Black silver flowerd esign small Overcoat,Overcoat,5,125.00,300.00,5
OCT-37,Black small seq Overcoat,Overcoat,5,80.00,300.00,8
OCT-36,Gold/Blue sleeve less Overcoat,Overcoat,5,80.00,300.00,8
OCT-35,Gold/Blue full sleeve Overcoat,Overcoat,5,125.00,300.00,4
OCT-34,Black gold tikky Overcoat,Overcoat,5,80.00,300.00,6
OCT-33,Black gold flower design Overcoat,Overcoat,5,125.00,300.00,19
OCT-32,Black/Majenta silver round seq Overcoat,Overcoat,5,125.00,300.00,19
OCT-31,Green diamond Overcoat,Overcoat,5,125.00,300.00,6
OCT-30,Black diamond Overcoat,Overcoat,5,125.00,300.00,10
OCT-29,Majenta diamond Overcoat,Overcoat,5,125.00,300.00,10
OCT-28,Purple diamond Overcoat,Overcoat,5,125.00,300.00,10
OCT-27,Majenta small full sleeve Overcoat,Overcoat,5,80.00,300.00,6
OCT-26,Yellow diamond Overcoat,Overcoat,5,125.00,300.00,10
OCT-25,Orange silve diamond Overcoat,Overcoat,5,125.00,300.00,10
OCT-24,Multi coat Overcoat,Overcoat,5,150.00,300.00,5
OCT-23,Green big seq Overcoat,Overcoat,5,150.00,300.00,1
OCT-22,Orange big seqsmall Overcoat,Overcoat,5,150.00,300.00,15
OCT-21,Orange/Chenkal tikky Overcoat,Overcoat,5,80.00,300.00,5
OCT-20,Red small seq sleeve less Overcoat,Overcoat,5,80.00,300.00,5
OCT-19,Red big seq Overcoat,Overcoat,5,125.00,300.00,16
OCT-18,Black gold big full sleeve Overcoat,Overcoat,5,225.00,300.00,11
OCT-17,Blue satin design Overcoat,Overcoat,5,80.00,300.00,11
OCT-16,Blue small seq sleeve less Overcoat,Overcoat,5,80.00,300.00,8
OCT-15,Blue big seq sleeve less Overcoat,Overcoat,5,150.00,300.00,21
OCT-14,Gold big seq full sleeve Overcoat,Overcoat,5,225.00,300.00,10
OCT-13,Gold bi seq sleeve less Overcoat,Overcoat,5,150.00,300.00,6
OCT-12,Green tikky sleeve less Overcoat,Overcoat,5,80.00,300.00,10
OCT-11,Green small sleeveless seq Overcoat,Overcoat,5,125.00,300.00,22
OCT-10,Blue velvet/Gold blu seq full sleeve Overcoat,Overcoat,5,175.00,300.00,10
OCT-9,Majenta square mirror Overcoat,Overcoat,5,150.00,300.00,5
OCT-8,Blue square mirror Overcoat,Overcoat,5,150.00,300.00,2
OCT-7,Yellow square mirror Overcoat,Overcoat,5,150.00,300.00,4
OCT-6,Blue Thread work Overcoat,Overcoat,5,125.00,300.00,2
OCT-5,Red Thread work Overcoat,Overcoat,5,125.00,300.00,2
OCT-4,Majenta thread work Overcoat,Overcoat,5,125.00,300.00,2
OCT-3,Black thread work Overcoat,Overcoat,5,125.00,300.00,3
OCT-2,Yellow thread work Overcoat,Overcoat,5,125.00,300.00,2
OCT-1,Orange gold round sequenceOvercoat,Overcoat,5,125.00,300.00,6
TEMPSTO-1,Temple Black stone full set,Ornaments,12,1150.00,3500.00,3
TEMPNEW-1,Temple full set new,Ornaments,12,900.00,2500.00,4
TEMPOLD-1,Temple full set ,Ornaments,12,450.00,2000.00,6
OPPSET-1,Oppana Ornaments,Ornaments,12,280.00,,50
BELT-13,White stone BH belt,Ornaments,12,125.00,,16
BELT-12,Gold belt with pendent,Ornaments,12,80.00,,8
BELT-11,Gold belt with hanging,Ornaments,12,80.00,,8
BELT-10,Layer manavatti belt,Ornaments,12,80.00,,9
BELT-9,Gold fancy belt with 3 pendent,Ornaments,12,80.00,,15
BELT-8,Mango fancy belt with centre pendent,Ornaments,12,80.00,,9
BELT-7,Broad gold belt green red gold stone,Ornaments,12,80.00,,14
BELT-6,Pearl yellow red stone 2 layer belt,Ornaments,12,80.00,,11
BELT-5,Pearl white stone belt,Ornaments,12,80.00,,8
BELT-4,White stone 2 layer belt,Ornaments,12,80.00,,12
BELT-3,Gold belt merroon beads hanging,Ornaments,12,60.00,,9
BELT-2,Gold hanging belt,Ornaments,12,60.00,,8
BELT-1,White stone Majenta green belt,Ornaments,12,80.00,,14
JADASET-1,Green red stone jada,Ornaments,12,125.00,,3
RAKODI-1,Temple rakodi choodamani,Ornaments,12,60.00,,15
SUNMOON-1,Temple sun-moon,Ornaments,12,50.00,,20
MATTI-5,3 Layer pearl hanging matti,Ornaments,12,80.00,,2
MATTI-4,3 Layer matti pearl & Jimmikki,Ornaments,12,80.00,,13
MATTI-3,Gold Matti,Ornaments,12,90.00,,8
MATTI-2,Veethi koodiya Temple matti,Ornaments,12,80.00,,8
MATTI-1,Temple matti normal,Ornaments,12,70.00,,20
HST-14,Antique single chutti green beads hanging Head set,Ornaments,12,80.00,,9
HST-13,Single chutti yellow stone pearl hanging head set,Ornaments,12,60.00,,5
HST-12,Single chutti marroon beads palakka head set,Ornaments,12,60.00,,11
HST-11,Small gold arch crown head set,Ornaments,12,70.00,,7
HST-10,Gold 3 side head set,Ornaments,12,150.00,,12
HST-9,Lekshmi round white majenta stone chutti hst,Ornaments,12,70.00,,9
HST-8,Single chutti white red stone head set,Ornaments,12,80.00,,5
HST-7,Temple head set,Ornaments,12,80.00,,16
HST-6,Single chutti Temple head set,Ornaments,12,80.00,,10
HST-5,Step chutti temple head set,Ornaments,12,80.00,,23
HST-4,Step crown 3 layer head set,Ornaments,12,150.00,,7
HST-3,White stone head set 3 layer,Ornaments,12,150.00,,9
HST-2,White stone head set 2 layer,Ornaments,12,125.00,,13
HST-1,White stone head set 1 layer,Ornaments,12,80.00,,28
LONGCH-23,Gold mango long with locket long chain,Ornaments,12,125.00,,8
LONGCH-22,Kashu mala white stone long chain,Ornaments,12,150.00,,17
LONGCH-21,Pichi long chain,Ornaments,12,125.00,,9
LONGCH-20,Kashmiri set long chain,Ornaments,12,125.00,,9
LONGCH-19,Red palakka long chain,Ornaments,12,150.00,,11
LONGCH-18,Green palakka long chain,Ornaments,12,150.00,,11
LONGCH-17,Bkue ball mala long chain,Ornaments,12,80.00,,11
LONGCH-16,Red stone kasshu long chain,Ornaments,12,125.00,,3
LONGCH-15,Red ball mala long chain,Ornaments,12,80.00,,5
LONGCH-14,Green ball mala long chain,Ornaments,12,80.00,,5
LONGCH-13,Multi stone locket long chain,Ornaments,12,125.00,,8
LONGCH-12,Mango mala long chain,Ornaments,12,80.00,,21
LONGCH-11,Big kaashu mala polished long chain,Ornaments,12,80.00,,34
LONGCH-10,Small kaashmala medium polished long chain,Ornaments,12,70.00,,17
LONGCH-9,Small kaashu medium long chain,Ornaments,12,80.00,,6
LONGCH-8,small kaasu mala long chain,Ornaments,12,80.00,,9
LONGCH-7,Kaasu mala medium long chain,Ornaments,12,125.00,,16
LONGCH-6,White green beads pendent long chain,Ornaments,12,125.00,,12
LONGCH-5,Pearl Mala long chain,Ornaments,12,80.00,,25
LONGCH-4,Gold Long chain,Ornaments,12,150.00,,12
LONGCH-3,Temple Mango long chain,Ornaments,12,175.00,,4
LONGCH-2,Green Stone Long chain,Ornaments,12,150.00,,12
LONGCH-1,Blue Palakka long chain,Ornaments,12,175.00,,2
KAMMAL-21,White stone hanging with matti kammal,Ornaments,12,80.00,,10
KAMMAL-20,Gold stone drops with jimikki kammal,Ornaments,12,80.00,,2
KAMMAL-19,Drops with pearly hanging kammal,Ornaments,12,80.00,,9
KAMMAL-18,Gold jimikki pearl hanging kammal,Ornaments,12,60.00,,5
KAMMAL-17,Very big gold jimikki pearl hangimg kammal,Ornaments,12,80.00,,9
KAMMAL-16,Full white flower kammal,Ornaments,12,60.00,,14
KAMMAL-15,Pearl white stone merroon stud kammal,Ornaments,12,60.00,,4
KAMMAL-14,Gold very big flower stud kammal,Ornaments,12,60.00,,10
KAMMAL-13,Gold small jimikki kammal,Ornaments,12,60.00,,5
KAMMAL-12,Thoda small kammal,Ornaments,12,20.00,,80
KAMMAL-11,Antique jimikki lekshmi stud kammal,Ornaments,12,80.00,,10
KAMMAL-10,Gold heavy hanging with jimikki kammal,Ornaments,12,80.00,,10
KAMMAL-9,White stone big stid kammal,Ornaments,12,70.00,,4
KAMMAL-8,Green palakka kammal,Ornaments,12,80.00,,13
KAMMAL-7,Temple jimikki big kammal,Ornaments,12,125.00,,20
KAMMAL-6,Temple jimikki medium kammal,Ornaments,12,80.00,,34
KAMMAL-5,Gold big hanging Kammal,Ornaments,12,60.00,,12
KAMMAL-4,Antique Jimikki Majenta stone Pearl Hanging Kammal,Ornaments,12,80.00,,12
KAMMAL-3,Gold small Jimikki Pearl hanging Kammal,Ornaments,12,60.00,,15
KAMMAL-2,Antique Jimikki Kammal,Ornaments,12,80.00,,19
KAMMAL-1,Gold/White Pearl very heavy ear ring Kammal,Ornaments,12,80.00,,15
NECK-88,Pichi necklace,Ornaments,12,80.00,,17
NECK-87,Green palakka necklace,Ornaments,12,80.00,,20
NECK-86,Red mango pinch necklace,Ornaments,12,80.00,,8
NECK-85,Elakathali V necklace,Ornaments,12,80.00,,12
NECK-84,Elakathali nice necklace,Ornaments,12,70.00,,25
NECK-83,White stone BH necklace,Ornaments,12,125.00,,1
NECK-82,Choker vangi necklace,Ornaments,12,80.00,,2
NECK-81,Gold simple choker necklace,Ornaments,12,60.00,,4
NECK-80,Gold choker with flower locket necklace,Ornaments,12,70.00,,10
NECK-79,Green white round design necklace,Ornaments,12,80.00,,9
NECK-78,Kolusu model necklace,Ornaments,12,60.00,,12
NECK-77,White pearl 4 layer necklace,Ornaments,12,60.00,,7
NECK-76,Gold chain with lekshmi locket necklace,Ornaments,12,80.00,,7
NECK-75,Gold chain with locket and bead necklace,Ornaments,12,60.00,,10
NECK-74,White bead necklace,Ornaments,12,60.00,,7
NECK-73,Green mango pinchu necklace,Ornaments,12,80.00,,10
NECK-72,Gold shoolam design necklace,Ornaments,12,80.00,,10
NECK-71,Gold chain with locket necklace,Ornaments,12,60.00,,7
NECK-70,Mango small white stone,Ornaments,12,60.00,,35
NECK-69,White stone 3 layer necklace,Ornaments,12,80.00,,4
NECK-68,Majenta stone necklace,Ornaments,12,80.00,,9
NECK-67,White stone 3 layer pearl hanging necklace,Ornaments,12,80.00,,4
NECK-66,White stone red green necklace,Ornaments,12,80.00,,12
NECK-65,Green red pearl hanging necklace,Ornaments,12,80.00,,10
NECK-64,Majenta green necklace beads hanging,Ornaments,12,80.00,,7
NECK-63,White stone necklace,Ornaments,12,80.00,,10
NECK-62,Red palakka necklace with locket,Ornaments,12,80.00,,5
NECK-61,Red palakka necklace,Ornaments,12,80.00,,4
NECK-60,Red white green stonenecklace,Ornaments,12,80.00,,11
NECK-59,Gold stone square choker necklace,Ornaments,12,80.00,,5
NECK-58,Black square stone choker necklace,Ornaments,12,80.00,,15
NECK-57,Red beads round necklace,Ornaments,12,80.00,,13
NECK-56,Gold beads hanging necklace,Ornaments,12,80.00,,7
NECK-55,Gold round design necklace with locket,Ornaments,12,80.00,,6
NECK-54,Gold square pendent choker necklace,Ornaments,12,80.00,,4
NECK-53,Gold small mango pinch necklace,Ornaments,12,80.00,,3
NECK-52,Gold choker blue stone 2 end necklace,Ornaments,12,80.00,,4
NECK-51,Gold mango pinch necklace,Ornaments,12,80.00,,6
NECK-50,Multi colour beads simple necklace,Ornaments,12,80.00,,11
NECK-49,Broad gold stone necklace,Ornaments,12,80.00,,8
NECK-48,Red flower necklace,Ornaments,12,60.00,,12
NECK-47,Green red flower necklace,Ornaments,12,80.00,,9
NECK-46,Square locket choker kammal necklace,Ornaments,12,80.00,,8
NECK-45,Mehandi gold veethi necklace,Ornaments,12,80.00,,14
NECK-44,Majenta stone/White pearl necklace,Ornaments,12,80.00,,9
NECK-43,Green stone white pearl necklace,Ornaments,12,60.00,,6
NECK-42,Kaashu necklace with red pendent,Ornaments,12,125.00,,11
NECK-41,White green red stone necklace,Ornaments,12,60.00,,12
NECK-40,Mehandi gold Necklace stud,Ornaments,12,80.00,,10
NECK-39,White/Green heavy choker necklace,Ornaments,12,125.00,,10
NECK-38,Majenta/white stone necklace set,Ornaments,12,80.00,,10
NECK-37,White stone necklace pearl hanging,Ornaments,12,80.00,,10
NECK-36,Flowergreen red stone pearl hanging necklace,Ornaments,12,80.00,,16
NECK-35,White green red beads hanging choker necklace,Ornaments,12,30.00,,10
NECK-34,Black 3 layer choker necklace,Ornaments,12,70.00,,7
NECK-33,Red 3 layer beads choker necklace,Ornaments,12,80.00,,8
NECK-32,Blue beads 3 layer choker necklace,Ornaments,12,80.00,,7
NECK-31,Multi big square stone necklace,Ornaments,12,60.00,,14
NECK-30,White big stine square necklace,Ornaments,12,60.00,,22
NECK-29,Blue Palakka Necklace,Ornaments,12,80.00,,10
NECK-28,Temple Necklace,Ornaments,12,80.00,,20
NECK-27,Black beads Kammal Necklace,Ornaments,12,80.00,,1
NECK-26,Temple Mango Necklace,Ornaments,12,125.00,,5
NECK-25,Temple 3 pendent Necklace,Ornaments,12,80.00,,8
NECK-24,Blue Palakka Mango pinch Necklace,Ornaments,12,150.00,,5
NECK-23,Green Palakka Jimikki Necklace,Ornaments,12,175.00,,8
NECK-22,Gold necklace Majenta stone hanging Necklace,Ornaments,12,125.00,,15
NECK-21,Majenta stone gold ball hanging Necklace,Ornaments,12,125.00,,9
NECK-20,Black stone Necklace,Ornaments,12,80.00,,11
NECK-19,Majenta green Kunthan Necklace,Ornaments,12,125.00,,4
NECK-18,Majenta kunthan stone Necklace,Ornaments,12,125.00,,2
NECK-17,Black metal multi stone Necklace,Ornaments,12,80.00,,7
NECK-16,Black metal Majent/white/green Necklace,Ornaments,12,125.00,,7
NECK-15,Black metal choker and kammal Necklace,Ornaments,12,80.00,,15
NECK-14,Gold Arumbu Necklace,Ornaments,12,80.00,,6
NECK-13,Red stone kammal Necklace,Ornaments,12,125.00,,2
NECK-12,3 layer stone kammal Necklace,Ornaments,12,150.00,,2
NECK-11,Green white stone kamma lNecklace,Ornaments,12,150.00,,8
NECK-10,Green kammal Necklace,Ornaments,12,125.00,,10
NECK-9,Antique blue kammal Necklace,Ornaments,12,80.00,,12
NECK-8,"Red beads choker, Kammal Necklace",Ornaments,12,80.00,,4
NECK-7,"Red beads choker. Kammal,Chutti Necklace",Ornaments,12,80.00,,10
NECK-6,Gold necklace blue stone and pearl Necklace,Ornaments,12,80.00,,6
NECK-5,Gold necklace/Blue stone Necklace,Ornaments,12,80.00,,10
NECK-4,White kunthan stone heavy choker Necklace,Ornaments,12,220.00,,10
NECK-3,Black thread choker new Necklace,Ornaments,12,125.00,,14
NECK-2,"White square big stone, kammal Necklace",Ornaments,12,150.00,,12
NECK-1,Gold Choker Necklace,Ornaments,12,80.00,,10
OPPMND-7,Oppana Mundu New Big,Oppana,5,225.00,,10
OPPBLS-7,Oppana Blouse Big green,Oppana,5,80.00,,10
OPPTHT-7,Oppana thattam Big New,Oppana,5,80.00,,10
OPPTHT-6,Oppana thattam Big New ,Oppana,5,80.00,,10
OPPBLS-6,Oppana blouse big green new,Oppana,5,80.00,,10
OPPMND-6,Oppana mundu big new,Oppana,5,225.00,,10
MANAVA-5,Blue Velvet Big Dress & Ornaments,Oppana,5,1260.00,,1
MANAVA-4,Majenta Velvet Big dress & Ornaments,Oppana,5,1260.00,,1
MANAVA-3,Green Seq Big dress & Ornaments,Oppana,5,1050.00,,1
MANAVA-2,Red Seq big Dress & Ornaments,Oppana,5,1050.00,,1
MANAVA-1,Green velvet small dress & ornsments,Oppana,5,800.00,,1
OPPMND-5,Oppana Mundu Big,Oppana,5,225.00,,10
OPPMND-4,Oppana Mundu Big,Oppana,5,225.00,,10
OPPMND-3,Oppana Mundu Big,Oppana,5,225.00,,10
OPPMND-2,Oppana Mundu UP,Oppana,5,225.00,,10
OPPMND-1,Oppana Mundu Small,Oppana,5,225.00,,10
OPPBLS-5,Oppana Blouse big Red brocade,Oppana,5,80.00,,10
OPPBLS-4,Oppana Blouse Big green,Oppana,5,80.00,,10
OPPBLS-3,Oppana Blouse Green old Big,Oppana,5,80.00,,10
OPPBLS-2,Oppana blouse Green old UP,Oppana,5,80.00,,10
OPPBLS-1,Oppana Blouse Green old Small,Oppana,5,80.00,,10
OPPTHT-1,Oppana Thattakam Small,Oppana,5,80.00,,10
OPPTHT-2,Oppana Thattakam UP,Oppana,5,80.00,,10
OPPTHT-3,Oppana Thattakam Big,Oppana,5,80.00,,10
OPPTHT-4,Oppana Thattakam big,Oppana,5,80.00,,10
OPPTHT-5,Oppana Thattakam Big,Oppana,5,80.00,,10
MOH-60,Dark border UP,Mohiniyattam,5,800.00,3000.00,1
MOH-59,Dark border UP,Mohiniyattam,5,800.00,3000.00,1
MOH-58,Dark border UP,Mohiniyattam,5,800.00,3000.00,1
MOH-57,Dark border UP,Mohiniyattam,5,800.00,3000.00,1
MOH-56,Dark border UP,Mohiniyattam,5,800.00,3000.00,1
MOH-55,Dark Chuttikara Old,Mohiniyattam,5,420.00,3000.00,1
MOH-54,Dark Chuttikara old,Mohiniyattam,5,420.00,3000.00,1
MOH-53,Dark chuttikara old,Mohiniyattam,5,420.00,3000.00,1
MOH-52,Dark chuttikara old,Mohiniyattam,5,420.00,3000.00,1
MOH-51,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-50,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-49,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-48,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-47,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-46,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-45,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-44,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-43,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-42,Light Chutti Kara,Mohiniyattam,5,680.00,3000.00,1
MOH-41,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-40,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-39,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-38,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-37,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-36,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-35,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-34,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-33,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-32,Dark Chutti kara,Mohiniyattam,5,630.00,3000.00,1
MOH-31,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-30,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-29,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-28,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-27,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-26,Thick Kasavu,Mohiniyattam,5,750.00,3000.00,1
MOH-25,Round,Mohiniyattam,5,580.00,3000.00,1
MOH-24,Round,Mohiniyattam,5,580.00,3000.00,1
MOH-23,Round,Mohiniyattam,5,580.00,3000.00,1
MOH-22,Round,Mohiniyattam,5,580.00,3000.00,1
MOH-21,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-20,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-19,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-18,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-17,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-16,Blue Kasavu Small,Mohiniyattam,5,530.00,3000.00,1
MOH-15,Blue Kasavu Large,Mohiniyattam,5,630.00,3000.00,1
MOH-14,Green/Red line,Mohiniyattam,5,630.00,3000.00,1
MOH-13,Green/Red line,Mohiniyattam,5,630.00,3000.00,1
MOH-12,Green/Red line,Mohiniyattam,5,630.00,3000.00,1
MOH-11,Green/Red line,Mohiniyattam,5,630.00,3000.00,1
