Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
SKTP-71,Red white dot skirt white blouse,Skirt Top,5,125.00,1800.00,8
SKTP-70,Blue net skirt white seq top (KG),Skirt Top,5,250.00,1800.00,21
SKTP-69,Blue Rajasthani,Skirt Top,5,370.00,1800.00,10
SKTP-68,Yellow Rajasthani,Skirt Top,5,420.00,1800.00,1
SKTP-67,Green majenta/ Black Majenta border,Skirt Top,5,250.00,1800.00,4
SKTP-66,Peach/Black design,Skirt Top,5,225.00,1800.00,10
SKTP-65,Black satin/ Red sequence top,Skirt Top,5,225.00,1800.00,14
SKTP-64,Orange/Green tikky,Skirt Top,5,180.00,1800.00,8
SKTP-63,Black cotton green/Green top,Skirt Top,5,260.00,1800.00,10
SKTP-62,Orange net/Blue border,Skirt Top,5,225.00,1800.00,10
SKTP-61,Red net/Green,Skirt Top,5,180.00,1800.00,8
SKTP-60,Black/white small dot,Skirt Top,5,260.00,1800.00,10
SKTP-59,Red net/Gold sequence,Skirt Top,5,180.00,1800.00,6
SKTP-58A,Green yellow net sequence ,Skirt Top,5,180.00,1800.00,10
SKTP-58,White gold seq kids,Skirt Top,5,180.00,1800.00,9
SKTP-57,Pink sequence/Silver Sequence,Skirt Top,5,225.00,1800.00,15
SKTP-56,Red/White cotton skirt,Skirt Top,5,250.00,1800.00,10
SKTP-55,Blue net/Blue velvet,Skirt Top,5,225.00,1800.00,12
SKTP-54,Yellow green border/Green,Skirt Top,5,225.00,1800.00,12
SKTP-53,Kilipacha red border,Skirt Top,5,180.00,1800.00,10
SKTP-52,White/Black tikky,Skirt Top,5,180.00,1800.00,8
SKTP-51,Yellow/Blue diamond,Skirt Top,5,180.00,1800.00,10
SKTP-50,Kilipacha net dark/Greenviolet,Skirt Top,5,250.00,1800.00,12
SKTP-49,Sea green silver sequence,Skirt Top,5,180.00,1800.00,7
SKTP-48,Green pink tikky,Skirt Top,5,180.00,1800.00,7
SKTP-47,Red and gold big sequence,Skirt Top,5,260.00,1800.00,10
SKTP-46,White sequence/Blue border,Skirt Top,5,470.00,1800.00,7
SKTP-45,Yellow /Majenta diamond,Skirt Top,5,125.00,1800.00,8
SKTP-44,Green/Majenta satin,Skirt Top,5,150.00,1800.00,10
SKTP-43,Green Net/Blue border,Skirt Top,5,175.00,1800.00,7
SKTP-42,Majenta/Sea blue,Skirt Top,5,175.00,1800.00,7
SKTP-41,Orange/Blue net slit,Skirt Top,5,175.00,1800.00,7
SKTP-40,Kilipacha dot/Gold sequence,Skirt Top,5,175.00,1800.00,9
SKTP-39,Sky blue readymade/Silver border,Skirt Top,5,250.00,1800.00,12
SKTP-38,Sky blue dot net/Red,Skirt Top,5,225.00,1800.00,10
SKTP-37,Offwhite/Merroon,Skirt Top,5,290.00,1800.00,7
SKTP-36A,WHITE/RED KID,Skirt Top,5,125.00,1800.00,20
SKTP-36,WHITE/RED KID,Skirt Top,5,125.00,1800.00,15
SKTP-35,WHITE/PINK,Skirt Top,5,250.00,1800.00,5
SKTP-34,WHITE/BLUE,Skirt Top,5,250.00,1800.00,5
SKTP-33,Blue velvet full design malappuram,Skirt Top,5,450.00,1800.00,12
SKTP-32,RED/GOLD,Skirt Top,5,450.00,1800.00,10
SKTP-31,RED/SILVER,Skirt Top,5,450.00,1800.00,12
SKTP-30,BLACK/RED,Skirt Top,5,420.00,1800.00,9
SKTP-29,WHITE/SILVER,Skirt Top,5,250.00,1800.00,11
SKTP-28,Orange / Black,Skirt Top,5,260.00,1800.00,9
SKTP-27,YELLOW/WHITE,Skirt Top,5,260.00,1800.00,11
SKTP-26,GREEN/BLUE,Skirt Top,5,325.00,1800.00,10
SKTP-25,ROSE/GREEN,Skirt Top,5,420.00,1800.00,10
SKTP-24,ROSE/GOLD,Skirt Top,5,420.00,1800.00,9
SKTP-23,GREEN/MAJENTA,Skirt Top,5,400.00,1800.00,12
SKTP-22,WHITE/BLUE,Skirt Top,5,225.00,1800.00,4
SKTP-21,WHITE/BLUE,Skirt Top,5,225.00,1800.00,10
SKTP-20,Pink dot netgreen,Skirt Top,5,420.00,1800.00,10
SKTP-19,RED/BLACK,Skirt Top,5,250.00,1800.00,8
SKTP-18,YELLOW/BLUE,Skirt Top,5,470.00,1800.00,7
SKTP-17,BLUE/GOLD,Skirt Top,5,420.00,1800.00,9
SKTP-16,ORANGE/BLUE,Skirt Top,5,325.00,1800.00,10
SKTP-15,ORANGE/GREEN,Skirt Top,5,325.00,1800.00,10
SKTP-14,WHITE/BLUE,Skirt Top,5,370.00,1800.00,10
SKTP-12,BLACK RAJASTANI SMALL,Skirt Top,5,225.00,1800.00,10
SKTP-11,BLUE/PINK,Skirt Top,5,325.00,1800.00,10
SKTP-10,BLUE net design Majenta big seq border,Skirt Top,5,420.00,1800.00,10
SKTP-9,Orange velvet black border,Skirt Top,5,420.00,1800.00,10
SKTP-8,Black dot white cotton skirt,Skirt Top,5,260.00,1800.00,10
SKTP-7,Black red flower cotton skirt,Skirt Top,5,260.00,1800.00,10
SKTP-6,Chembaka cotton yellow skirt,Skirt Top,5,370.00,1800.00,9
SKTP-5,Black cotton with green border,Skirt Top,5,325.00,1800.00,9
SKTP-4,Purple velvet full sequence,Skirt Top,5,420.00,1800.00,12
SKTP-3,YELLOW full work Yellow seq border,Skirt Top,5,420.00,1800.00,10
SKTP-2,PINK net full work,Skirt Top,5,420.00,1800.00,12
SKTP-1,Blue velvet full design,Skirt Top,5,420.00,1800.00,10
SKIRT-90,Slit Yellow red,Skirt,5,180.00,500.00,12
SKIRT-89,Slit skirt blue green,Skirt,5,180.00,500.00,12
SKIRT-88,White net with silver seq,Skirt,5,260.00,500.00,7
SKIRT-87,White BH skirt,Skirt,5,325.00,500.00,10
SKIRT-86,Black silver thread and sequence,Skirt,5,325.00,500.00,4
SKIRT-85,Black cotton orange flower skirt,Skirt,5,325.00,500.00,12
SKIRT-84,"White skirt (tube work),Gold border",Skirt,5,370.00,500.00,13
SKIRT-10,White skirt tube work gold border,Skirt,5,370.00,500.00,10
SKIRT-83,Sky blue dot net majenta velvet border ,Skirt,5,225.00,500.00,10
SKIRT-82,Red net gold seq border,Skirt,5,225.00,500.00,14
SKIRT-81,Lavender light violet Tutu Skirt,Skirt,5,180.00,500.00,15
SKIRT-80,Pink Polka dot tutu skirt,Skirt,5,180.00,500.00,12
SKIRT-79,yellow net Sunflower  skirt small,Skirt,5,180.00,500.00,12
SKIRT-78,Royal blue net gold dot skirt with Gold border,Skirt,5,250.00,500.00,10
SKIRT-77,Orange Tu Tu skirt,Skirt,5,180.00,500.00,12
SKIRT-76,Orange net skirt with gold border,Skirt,5,260.00,500.00,15
SKIRT-75,Neriyathu long with Gold,Skirt,5,175.00,500.00,3
SKIRT-74,Gold shimmer with gold sequence border,Skirt,5,175.00,500.00,2
SKIRT-73,Gold shimmer dot/Red green border,Skirt,5,125.00,500.00,9
SKIRT-72,Pink/ White,Skirt,5,150.00,500.00,6
SKIRT-71,Green / White,Skirt,5,150.00,500.00,8
SKIRT-70,blue/White,Skirt,5,150.00,500.00,4
SKIRT-69,Multi colour,Skirt,5,175.00,500.00,10
SKIRT-68,Purple Gold dot,Skirt,5,150.00,500.00,7
